manufacturer,type,avg_price,median_price,total_listings
ram,wagon,24116.59259259259,22500.0,27
rover,SUV,29499.401896425967,24995.0,1371
rover,coupe,24638.0,24990.0,40
rover,hatchback,17472.25,22800.0,20
rover,offroad,11172.636363636364,8500.0,11
rover,other,35375.366120218576,32990.0,183
rover,sedan,10583.333333333334,13000.0,3
rover,truck,14149.625,13499.5,8
rover,unknown,26022.795221843004,19950.0,293
rover,wagon,29366.0,33116.0,6
saturn,SUV,4472.725225225226,4500.0,222
saturn,convertible,12210.782608695652,12000.0,46
saturn,coupe,4137.171875,3700.0,64
saturn,hatchback,3682.8,3400.0,10
saturn,mini-van,3799.4,3500.0,5
saturn,other,19243.5,21990.0,44
saturn,sedan,3981.419708029197,3675.0,274
saturn,truck,4577.5,4577.5,2
saturn,unknown,4202.263707571801,3995.0,383
saturn,van,6016.666666666667,5750.0,3
saturn,wagon,3216.3125,3700.0,16
subaru,SUV,13388.924940898345,10995.0,1692
subaru,coupe,24424.307142857142,28990.0,140
subaru,hatchback,14486.944047619048,15100.0,840
subaru,mini-van,2500.0,2500.0,1
subaru,offroad,11974.75,8999.5,4
subaru,other,17214.722972972973,15845.0,148
subaru,pickup,12021.74074074074,14997.0,27
subaru,sedan,16519.46020260492,15495.0,2073
subaru,truck,5990.571428571428,5990.0,7
subaru,unknown,12341.409233997902,9499.0,1906
subaru,wagon,12047.013996138996,9998.0,2072
tesla,SUV,57471.78,65590.0,50
tesla,hatchback,37279.3,39683.5,50
tesla,other,57799.21428571428,65000.0,28
tesla,sedan,37191.847113884556,37590.0,641
tesla,unknown,41067.05633802817,41950.0,71
tesla,wagon,59999.0,59999.0,3
toyota,SUV,18547.8087920638,14550.0,5141
toyota,convertible,7508.927272727273,6995.0,110
toyota,coupe,12539.172661870503,5550.0,278
toyota,hatchback,10469.11583659765,8000.0,1787
toyota,mini-van,12498.974496644296,8995.0,745
toyota,offroad,21281.136363636364,16100.0,44
toyota,other,24830.061912225705,28990.0,1276
toyota,pickup,27862.472243639168,27990.0,5188
toyota,sedan,10671.790611134966,8950.0,6987
toyota,truck,25848.156154849934,25000.0,2299
toyota,unknown,12120.79207219961,8000.0,5651
toyota,van,25328.020833333332,18989.5,528
toyota,wagon,15291.109037328095,13894.0,1018
unknown,SUV,15322.048828125,9500.0,1024
unknown,bus,14712.458333333334,7500.0,192
unknown,convertible,16666.052845528455,8500.0,246
unknown,coupe,23699.729253112033,13967.5,964
unknown,hatchback,12114.647210300429,14990.0,1165
unknown,mini-van,8928.52205882353,4098.0,136
unknown,offroad,22702.0,10650.0,20
unknown,other,19679.614232209737,10250.0,534
unknown,pickup,22360.14761904762,13500.0,210
unknown,sedan,21025.581949058695,19974.5,1806
unknown,truck,29670.256144890038,27500.0,1546
unknown,unknown,18316.530059660396,10500.0,4358
unknown,van,20388.632183908045,15800.0,174
unknown,wagon,6359.762195121952,5200.0,164
volkswagen,SUV,15564.726204465334,12995.0,851
volkswagen,bus,18560.0,19900.0,5
volkswagen,convertible,15633.805333333334,19990.0,375
volkswagen,coupe,8210.146464646465,7100.0,198
volkswagen,hatchback,12320.207489878543,12995.0,988
volkswagen,mini-van,7896.537037037037,7149.5,54
volkswagen,offroad,5798.75,6150.0,4
volkswagen,other,22310.229906542056,20990.0,535
volkswagen,pickup,4920.0,4840.0,4
volkswagen,sedan,12881.304011461318,11700.0,3490
volkswagen,truck,7531.666666666667,8000.0,3
volkswagen,unknown,9204.302861685215,7200.0,1258
volkswagen,van,16317.095238095239,9825.0,84
volkswagen,wagon,14785.896980461812,16590.0,563
volvo,SUV,23026.31377899045,14999.0,733
volvo,convertible,8509.6,7500.0,50
volvo,coupe,6473.111111111111,7495.0,18
volvo,hatchback,6883.475,5300.0,40
volvo,offroad,5063.333333333333,4995.0,3
volvo,other,28055.080745341616,31990.0,161
volvo,sedan,20582.47106109325,19990.0,1244
volvo,truck,23254.0,20500.0,46
volvo,unknown,11204.509945750453,6900.0,553
volvo,wagon,12643.456193353475,8997.0,331
