price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,state
14500,2009.0,gmc,sierra 1500,good,8 cylinders,gas,186168.0,automatic,4wd,pickup,tx
14000,2007.0,jeep,wrangler,excellent,unknown,gas,144506.0,automatic,4wd,SUV,wi
2900,2001.0,mazda,protege,unknown,unknown,gas,91000.0,automatic,unknown,unknown,ca
48990,2012.0,ram,unknown,unknown,unknown,diesel,109518.0,manual,4wd,pickup,or
6750,2010.0,volkswagen,tiguan sel,excellent,unknown,gas,126045.0,automatic,unknown,SUV,ca
19590,2012.0,subaru,impreza wrx sedan 4d,good,unknown,gas,79273.0,other,unknown,sedan,fl
38960,2017.0,gmc,sierra 1550,good,unknown,gas,67493.0,automatic,unknown,unknown,il
24990,2017.0,fiat,124 spider classica,good,unknown,gas,30075.0,other,rwd,other,fl
41999,2019.0,chevrolet,tahoe ls 4x4 gas suv,unknown,unknown,gas,46167.0,automatic,4wd,SUV,wa
18900,2008.0,toyota,fj,excellent,6 cylinders,gas,120000.0,automatic,4wd,SUV,mi
4700,2007.0,nissan,unknown,unknown,6 cylinders,gas,142000.0,automatic,unknown,unknown,ca
15999,2014.0,infiniti,q50 premium,unknown,unknown,gas,128380.0,automatic,rwd,sedan,wa
3300,2013.0,ford,transit connect,unknown,unknown,gas,1.0,automatic,unknown,van,il
6250,2005.0,ram,1500,good,8 cylinders,gas,171580.0,automatic,rwd,pickup,ia
22990,2018.0,volkswagen,tiguan 2.0t se sport,good,unknown,gas,14566.0,other,fwd,other,tx
16995,2007.0,toyota,tundra,unknown,unknown,gas,132814.0,automatic,unknown,other,oh
17990,2014.0,subaru,xv crosstrek premium,good,unknown,other,60540.0,other,unknown,hatchback,tx
23500,2018.0,gmc,acadia,unknown,4 cylinders,gas,60447.0,automatic,fwd,SUV,ca
25995,2017.0,mercedes-benz,e-class,unknown,unknown,gas,50505.0,automatic,unknown,sedan,ny
3900,1994.0,unknown,Oldsmobile Achieva S,excellent,4 cylinders,gas,89026.0,automatic,fwd,sedan,fl
42500,1994.0,unknown,am general m998,good,unknown,diesel,47000.0,automatic,4wd,unknown,ok
5000,2004.0,gmc,envoy new sticker,unknown,unknown,gas,136000.0,automatic,unknown,unknown,me
30990,2019.0,ford,ranger supercrew xl pickup,good,unknown,gas,5468.0,other,unknown,pickup,ca
34981,2018.0,ford,f-150,excellent,6 cylinders,gas,53777.0,automatic,4wd,pickup,mo
34590,2020.0,cadillac,xt4 sport suv 4d,good,unknown,gas,9624.0,other,unknown,hatchback,mi
17980,2017.0,buick,regal,unknown,unknown,gas,42044.0,automatic,fwd,unknown,va
39590,2019.0,lincoln,continental reserve,good,6 cylinders,gas,35126.0,other,unknown,sedan,fl
5590,2010.0,hyundai,elantra,excellent,unknown,gas,115712.0,automatic,fwd,sedan,wi
72998,2018.0,chevrolet,silverado 2500hd,excellent,8 cylinders,diesel,33397.0,automatic,4wd,truck,ca
8495,2007.0,ford,f-150,unknown,unknown,gas,173737.0,automatic,4wd,pickup,ct
5895,2006.0,ford,f-150,excellent,unknown,gas,129055.0,automatic,unknown,pickup,oh
5250,2008.0,nissan,versa,unknown,unknown,gas,168009.0,automatic,fwd,other,ny
25995,2012.0,ford,f-250 super duty,like new,unknown,gas,33154.0,automatic,unknown,unknown,sc
13594,2017.0,ford,escape se 4wd,unknown,4 cylinders,unknown,68682.0,automatic,4wd,SUV,nj
52590,2019.0,bmw,x5 xdrive40i sport utility,good,unknown,other,18933.0,other,unknown,other,pa
5477,2003.0,nissan,murano,unknown,unknown,gas,168055.0,automatic,unknown,SUV,nd
13990,2010.0,acura,tsx sedan 4d,good,unknown,other,78662.0,other,fwd,sedan,ca
17651,2016.0,honda,accord sedan,unknown,unknown,gas,38785.0,automatic,fwd,sedan,tn
9995,2016.0,volkswagen,jetta 1.4 turbo,excellent,4 cylinders,gas,102000.0,automatic,fwd,sedan,tx
3995,2010.0,ford,fusion,excellent,4 cylinders,gas,133503.0,automatic,fwd,unknown,fl
14950,2010.0,subaru,outback 3.6r limited,excellent,6 cylinders,gas,50806.0,automatic,4wd,wagon,id
14900,2014.0,nissan,rogue sv,like new,4 cylinders,gas,55000.0,automatic,unknown,SUV,ia
6900,2005.0,toyota,sequoia,excellent,8 cylinders,gas,230000.0,automatic,rwd,SUV,ca
32590,2019.0,mazda,mx-5 miata rf grand,good,unknown,gas,2612.0,other,rwd,other,ca
6999,2012.0,chevrolet,equinox,unknown,unknown,gas,174848.0,automatic,unknown,other,ks
5300,2004.0,gmc,yukon,excellent,8 cylinders,gas,243000.0,automatic,4wd,SUV,oh
28900,2018.0,ford,transit,good,6 cylinders,gas,70600.0,other,rwd,van,nj
6000,2000.0,toyota,4runner 4wd,good,6 cylinders,gas,263000.0,automatic,4wd,unknown,co
12500,2013.0,nissan,pathfinder,excellent,6 cylinders,gas,97541.0,automatic,4wd,SUV,ny
2800,2003.0,ford,windstar,good,6 cylinders,gas,161000.0,automatic,fwd,mini-van,fl
